rank,song,pattern
1,"애프터 라이크",N04
2,"애프터 라이크",H06
3,"애프터 라이크",E01
4,"누드",H06
5,"누드",N04
6,"테디베어",N04
7,"테디베어",H06
8,"베토벤 바이러스",H07
9,"베토벤 바이러스",N04
10,"테디베어",E02
11,"누드",E02
12,"아모르 파티",H06
13,"아모르 파티",N04
14,"터키 행진곡",H07
15,"진폐증 ft. Kagamine Len/GUMI",S19
16,"아모르 파티",E02
17,"진폐증 ft. Kagamine Len/GUMI",D22
18,"윈터",H07
19,"캐논 디",H07
20,"진폐증 ft. Kagamine Len/GUMI",S16
21,"애프터 라이크",S18
22,"애프터 라이크",S09
23,"설탕음모론",H06
24,"여래아",S01
25,"우편마차",H07
26,"애프터 라이크",S15
27,"유포리아닉",S16
28,"체이스 미",H05
29,"알테일",D23
30,"아모르 파티",S15
31,"굿 나이트",H06
32,"베토벤 바이러스",V12
33,"또다른 진심",H06
34,"바이올렛 퍼퓸",H06
35,"아모르 파티",D19
36,"추격",S22
37,"굿 나이트",V09
38,"윈터",N04
39,"테디베어",S17
40,"애프터 라이크",D20
41,"누드",S16
42,"애프터 라이크",D17
43,"테디베어",S09
44,"애프터 라이크",S13
45,"누드",S11
46,"어콰이어",D23
47,"테디베어",D18
48,"유포리아닉",D18
49,"어콰이어",S20
50,"테디베어",S14
51,"체이스 미",V09
52,"아모르 파티",S18
53,"터키 행진곡",N03
54,"체이스 미",N03
55,"아모르 파티",D23
56,"쇼다운",D22
57,"벡터",S18
58,"얼론",H05
59,"우편마차",N04
60,"유포리아닉",S19
61,"캐논 디",N03
62,"베르사이유",S16
63,"누드",D17
64,"배드 애플!! feat. Nomico",H05
65,"또다른 진심",N04
66,"슈퍼 카프리시오",H07
67,"보카",H05
68,"추격",S16
69,"누드",S06
70,"추격",D17
71,"아모르 파티",D16
72,"굿 나이트",N03
73,"얼론",N03
74,"아모르 파티",S21
75,"바이올렛 퍼퓸",V08
76,"애프터 라이크",D15
77,"어콰이어",D19
78,"애프터 라이크",S06
79,"보카",D19
80,"보카",V09
81,"벡터",D20
82,"설탕음모론",N03
83,"유포리아닉",D21
84,"베르사이유",S19
85,"누드",S14
86,"알테일",S21
87,"테디베어",D15
88,"보카",S17
89,"팔로우 미",H06
90,"베르사이유",S20
91,"에너지 시너지 매트릭스",S16
92,"베르사이유",D20
93,"알테일",D19
94,"닥터 엠",H06
95,"벡터",S14
96,"에너지 시너지 매트릭스",D22
97,"쇼다운",S20
98,"밀크",S20
99,"에너지 시너지 매트릭스",D19
100,"쥬핀",D25
101,"얼론",E01
102,"할시온",S18
103,"8 6",S20
104,"보카",N03
105,"보카",S19
106,"비행기",D18
107,"보카",S14
108,"에너지 시너지 매트릭스",S20
109,"슈퍼 판타지",H07
110,"어콰이어",S17
111,"소서리스 엘리제",H06
112,"밀크",S17
113,"밀크",D22
114,"슈퍼 카프리시오",N04
115,"굿텍",D24
116,"비행기",S17
117,"굿텍",D20
118,"스톰",D19
119,"밀크",D19
120,"비행기",H05
121,"베르사이유",D23
122,"테디베어",S06
123,"벡터",D15
124,"벡터",S22
125,"사라반드",H07
126,"할시온",D20
127,"아모르 파티",S06
128,"밀크",S15
129,"보카",S21
130,"에너지 시너지 매트릭스",S18
131,"진폐증 ft. Kagamine Len/GUMI",S12
132,"쥬핀",S17
133,"스톰",S17
134,"쇼다운",S17
135,"바이올렛 퍼퓸",N04
136,"어콰이어",D16
137,"쥬핀",S19
138,"굿텍",S16
139,"어콰이어",S15
140,"벡터",D24
141,"알테일",S18
142,"할시온",S12
143,"굿텍",S21
144,"또다른 진심",V08
145,"할시온",D24
146,"라스트 리버스",H05
147,"굿텍",S18
148,"할시온",S20
149,"스위트로닉",H05
150,"쇼다운",D18
151,"배드 애플!! feat. Nomico",N03
152,"쥬핀",D18
153,"터키 행진곡",V12
154,"보카",D15
155,"유포리아닉",S11
156,"굿텍",D16
157,"밀크",D16
158,"누드",D15
159,"코스믹 레일로드",D19
160,"쥬핀",D23
161,"설탕음모론",E01
162,"꺼림칙한",S19
163,"팔로우 미",V09
164,"붐!!",D22
165,"여래아",S13
166,"할시온",S22
167,"에너지 시너지 매트릭스",S11
168,"비행기",N03
169,"추격",D25
170,"소서리스 엘리제",N04
171,"보카",D23
172,"8 6",S16
173,"벡터",S08
174,"보카",S09
175,"꼭두각시",D21
176,"팔로우 미",N04
177,"보카",D21
178,"쥬핀",S23
179,"코스믹 레일로드",D22
180,"스위트로닉",N03
181,"스위트로닉",V08
182,"쥬핀",S12
183,"알테일",D16
184,"알테일",S15
185,"쇼다운",D16
186,"애프터 라이크",S04
187,"키티 캣",E01
188,"코스믹 레일로드",S15
189,"스톰",D16
190,"에너지 시너지 매트릭스",S07
191,"밀크",S11
192,"베르사이유",S10
193,"유포리아닉",D10
194,"밀크",S07
195,"코스믹 레일로드",S18
196,"스콜피온 킹",D23
197,"라스트 리버스",V09
198,"라스트 리버스",N03
199,"꼭두각시",S23
200,"쇼다운",S14
201,"슈샤",H05
202,"얼론",S17
203,"사라반드",N04
204,"스위트로닉",S15
205,"소서리스 엘리제",V08
206,"쥬핀",S21
207,"캐논 디",V11
208,"얼론",D18
209,"유포리아닉",S08
210,"슈샤",N03
211,"풀 문",S20
212,"비행기",D16
213,"굿텍",S12
214,"윈터",V12
215,"어콰이어",S11
216,"얼론",S15
217,"쥬핀",D14
218,"애프터 라이크",D07
219,"에너지 시너지 매트릭스",D13
220,"비행기",S15
221,"베르사이유",D12
222,"꼭두각시",S20
223,"꼭두각시",D23
224,"슬램",D24
225,"코스믹 레일로드",S21
226,"웨딩 크래셔",S10
227,"베토벤 바이러스",S07
228,"우편마차",V12
229,"스톰",H06
230,"슈퍼 판타지",N04
231,"붐!!",S20
232,"꼭두각시",S18
233,"키티 캣",N03
234,"스톰",S14
235,"슈퍼 판타지",S16
236,"닥터 엠",V09
237,"배드 애플!! feat. Nomico",E01
238,"사라반드",E02
239,"닥터 엠",N03
240,"얼론",S08
241,"모페모페",D17
242,"추격",D13
243,"테디베어",D07
244,"꼭두각시",D25
245,"가고일 - FULL SONG -",S21
246,"베르사이유",S07
247,"굿텍",S08
248,"굿바운스",D21
249,"굿 나이트",S20
250,"또다른 진심",S06
251,"어콰이어",S07
252,"굿바운스",S20
253,"배드 애플!! feat. Nomico",S09
254,"얼론",D16
255,"락 더 하우스",D22
256,"트위스트 오브 페이트 (feat. Ruriling)",S19
257,"얼티메이텀",S21
258,"누드",S04
259,"키티 캣",H05
260,"레이디버그",E01
261,"애프터 라이크",C
262,"알레그로 퓨리오소",D20
263,"테디베어",S04
264,"디그니티",S21
265,"슈퍼 판타지",V10
266,"할시온",D12
267,"얼티메이텀",S17
268,"슈퍼 카프리시오",V12
269,"비행기",E01
270,"레미니센스",H06
271,"추격",S11
272,"체이스 미",S20
273,"누드",D08
274,"스톰",N04
275,"미운 오리새끼",S17
276,"시간의 회랑 라비린스",S20
277,"가고일",D20
278,"굿바운스",S16
279,"붐!!",D18
280,"풀 문",D20
281,"어콰이어",D12
282,"8 6",D21
283,"굿 나이트",S09
284,"뷰티플라이어",D18
285,"누드",C
286,"코스믹 레일로드",S10
287,"레이디버그",H05
288,"쇼다운",S10
289,"뷰티플라이어",N04
290,"꺼림칙한",D20
291,"애프터 라이크",S01
292,"비행기",S13
293,"트로피카닉",S16
294,"뷰티플라이어",H06
295,"버터플라이",D17
296,"슈샤",V10
297,"우츠시요 노 카제 feat. Kana",D20
298,"뷰티플라이어",S17
299,"왓 해픈드",D20
300,"꼭두각시",S25
301,"유 앤 아이",S21
302,"진공",S19
303,"매드 사이언스",S20
304,"굿바운스",D18
305,"코스믹 레일로드",D13
306,"조깅",S09
307,"트로피카닉",S19
