rank,song,pattern
1,"애프터 라이크",N04
2,"애프터 라이크",E01
3,"애프터 라이크",H06
4,"누드",N04
5,"테디베어",N04
6,"누드",H06
7,"테디베어",H06
8,"베토벤 바이러스",H07
9,"베토벤 바이러스",N04
10,"테디베어",E02
11,"누드",E02
12,"비행기",H05
13,"비행기",N03
14,"아모르 파티",H06
15,"아모르 파티",N04
16,"진폐증 ft. Kagamine Len/GUMI",S19
17,"터키 행진곡",H07
18,"여래아",S01
19,"진폐증 ft. Kagamine Len/GUMI",S16
20,"추격",S22
21,"비행기",E01
22,"캐논 디",H07
23,"윈터",H07
24,"스톰",H06
25,"스톰",N04
26,"유포리아닉",S16
27,"아모르 파티",E02
28,"애프터 라이크",S09
29,"애프터 라이크",S18
30,"애프터 라이크",S15
31,"벡터",S18
32,"우편마차",H07
33,"추격",S16
34,"설탕음모론",H06
35,"윈터",N04
36,"스톰",S17
37,"뷰티플라이어",N04
38,"어콰이어",S20
39,"진폐증 ft. Kagamine Len/GUMI",D22
40,"베토벤 바이러스",V12
41,"뷰티플라이어",H06
42,"비행기",S17
43,"유포리아닉",S19
44,"또다른 진심",H06
45,"베르사이유",S16
46,"굿 나이트",H06
47,"애프터 라이크",S13
48,"바이올렛 퍼퓸",H06
49,"배드 애플!! feat. Nomico",H05
50,"뷰티플라이어",E02
51,"우편마차",N04
52,"꼭두각시",S18
53,"비행기",D18
54,"베르사이유",S19
55,"할시온",S18
56,"굿바운스",S20
57,"누드",S11
58,"캐논 디",N03
59,"체이스 미",H05
60,"터키 행진곡",N03
61,"베르사이유",S20
62,"굿텍",S18
63,"테디베어",S09
64,"애프터 라이크",S06
65,"스톰",E02
66,"굿 나이트",V09
67,"어콰이어",S17
68,"스톰",D19
69,"굿텍",S21
70,"아모르 파티",S15
71,"누드",S16
72,"알테일",S21
73,"꼭두각시",S20
74,"보카",S17
75,"굿바운스",S16
76,"얼론",E01
77,"팔로우 미",H06
78,"에너지 시너지 매트릭스",S20
79,"얼론",N03
80,"누드",S06
81,"또다른 진심",N04
82,"아모르 파티",S18
83,"슈퍼 카프리시오",H07
84,"유포리아닉",D18
85,"보카",H05
86,"얼론",H05
87,"테디베어",S14
88,"쥬핀",S17
89,"테디베어",S17
90,"벡터",S22
91,"애프터 라이크",D17
92,"굿 나이트",N03
93,"설탕음모론",N03
94,"슈퍼 카프리시오",N04
95,"꼭두각시",S23
96,"비행기",S15
97,"쥬핀",S19
98,"붐!!",S17
99,"애프터 라이크",D20
100,"소서리스 엘리제",H06
101,"붐!!",S20
102,"벡터",S14
103,"보카",N03
104,"에너지 시너지 매트릭스",S16
105,"알테일",D23
106,"스톰",S14
107,"꼭두각시",D21
108,"굿텍",S16
109,"보카",S14
110,"닥터 엠",H06
111,"팔로우 미",N04
112,"체이스 미",V09
113,"에너지 시너지 매트릭스",S18
114,"밀크",S20
115,"보카",S19
116,"알테일",S18
117,"체이스 미",N03
118,"추격",D17
119,"스톰",D16
120,"밀크",S17
121,"설탕음모론",E01
122,"비행기",S13
123,"배드 애플!! feat. Nomico",N03
124,"쇼다운",S20
125,"누드",S14
126,"어콰이어",D23
127,"아모르 파티",S21
128,"쇼다운",S17
129,"보카",V09
130,"보카",S21
131,"비행기",D16
132,"바이올렛 퍼퓸",V08
133,"소서리스 엘리제",N04
134,"할시온",S20
135,"아모르 파티",D19
136,"바이올렛 퍼퓸",N04
137,"붐!!",D22
138,"어콰이어",S15
139,"슈샤",N03
140,"유포리아닉",S11
141,"밀크",S15
142,"쥬핀",S23
143,"진폐증 ft. Kagamine Len/GUMI",S12
144,"쥬핀",S21
145,"라스트 리버스",H05
146,"키티 캣",E01
147,"애프터 라이크",D15
148,"코스믹 레일로드",S18
149,"사라반드",H07
150,"할시온",S22
151,"슈퍼 판타지",H07
152,"스위트로닉",N03
153,"라스트 리버스",N03
154,"벡터",D20
155,"할시온",S12
156,"붐!!",S15
157,"어콰이어",D19
158,"테디베어",S06
159,"베르사이유",D20
160,"스위트로닉",H05
161,"테디베어",D18
162,"아모르 파티",D16
163,"보카",S09
164,"보카",D19
165,"굿바운스",D18
166,"붐!!",D18
167,"쇼다운",D22
168,"스톰",S09
169,"뷰티플라이어",S17
170,"굿텍",D20
171,"아모르 파티",D23
172,"터키 행진곡",V12
173,"배드 애플!! feat. Nomico",E01
174,"누드",D17
175,"팔로우 미",V09
176,"에너지 시너지 매트릭스",S11
177,"슈샤",H05
178,"쥬핀",S12
179,"알테일",S15
180,"또다른 진심",V08
181,"8 6",S20
182,"테디베어",D15
183,"꼭두각시",S25
184,"유포리아닉",D21
185,"굿바운스",D21
186,"닥터 엠",N03
187,"알테일",D19
188,"8 6",S16
189,"코스믹 레일로드",S21
190,"쥬핀",D18
191,"애프터 라이크",S04
192,"벡터",D15
193,"유포리아닉",S08
194,"코스믹 레일로드",S15
195,"뷰티플라이어",S15
196,"꼭두각시",D23
197,"밀크",S11
198,"에너지 시너지 매트릭스",D19
199,"벡터",S08
200,"베르사이유",S10
201,"보카",D15
202,"스위트로닉",V08
203,"여래아",S13
204,"붐!!",D16
205,"아모르 파티",S06
206,"쇼다운",S14
207,"에너지 시너지 매트릭스",D22
208,"얼론",S15
209,"라스트 리버스",V09
210,"할시온",D20
211,"에너지 시너지 매트릭스",S07
212,"굿텍",D16
213,"레이디버그",E01
214,"비행기",S05
215,"굿텍",D24
216,"베르사이유",D23
217,"소서리스 엘리제",V08
218,"사라반드",N04
219,"베토벤 바이러스",S07
220,"스위트로닉",S15
221,"사라반드",E02
222,"밀크",D19
223,"밀크",D22
224,"밀크",D16
225,"뷰티플라이어",D18
226,"추격",D25
227,"가고일 - FULL SONG -",S21
228,"굿바운스",S12
229,"굿텍",S12
230,"어콰이어",D16
231,"밀크",S07
232,"윈터",V12
233,"뷰티플라이어",S13
234,"키티 캣",N03
235,"얼론",S17
236,"캐논 디",V11
237,"애프터 라이크",D07
238,"슈퍼 판타지",N04
239,"슈퍼 판타지",S16
240,"추격",S11
241,"얼론",S08
242,"어콰이어",S11
243,"쥬핀",D23
244,"우편마차",V12
245,"키티 캣",H05
246,"웨딩 크래셔",S10
247,"누드",D15
248,"배드 애플!! feat. Nomico",S09
249,"할시온",D24
250,"쇼다운",D18
251,"어콰이어",S07
252,"굿 나이트",S09
253,"유포리아닉",D10
254,"벡터",D24
255,"레미니센스",H06
256,"스콜피온 킹",D23
257,"닥터 엠",V09
258,"붐!!",S10
259,"애프터 라이크",S01
260,"코스믹 레일로드",D19
261,"쇼다운",D16
262,"뷰티플라이어",D16
263,"베르사이유",S07
264,"알테일",D16
265,"얼티메이텀",S21
266,"보카",D21
267,"슈샤",V10
268,"레이디버그",N03
269,"유포리아닉",S05
270,"레이디버그",H05
271,"뷰티플라이어",S06
272,"꺼림칙한",S19
273,"팝 더 트랙",E02
274,"조깅",S09
275,"쥬핀",D14
276,"굿텍",S08
277,"얼티메이텀",S17
278,"락 더 하우스",D22
279,"누드",S04
280,"슈퍼 카프리시오",V12
281,"보카",S05
282,"보카",D23
283,"꼭두각시",D25
284,"애프터 라이크",C
285,"팝 더 트랙",N04
286,"조깅",S16
287,"모페모페",S11
288,"풀 문",S20
289,"코스믹 레일로드",D22
290,"레미니센스",N03
291,"붐!!",S07
292,"추격",D13
293,"베르사이유",D12
294,"모페모페",D17
295,"유 앤 아이",S07
296,"쇼다운",S10
297,"테디베어",D07
298,"스톰",S06
299,"모페모페",S15
300,"쥬핀",D25
301,"에너지 시너지 매트릭스",D13
302,"베토벤 바이러스",S12
303,"팝 더 트랙",H07
304,"슈퍼 판타지",V10
305,"굿바운스",S07
306,"얼티메이텀",S23
307,"얼론",D16
308,"체이스 미",S09
309,"굿바운스",D13
310,"쇼다운",S06
311,"배드 애플!! feat. Nomico",S05
312,"또다른 진심",S06
313,"8 6",D21
314,"테디베어",S04
315,"슬램",D24
316,"8 6 - FULL SONG -",S21
317,"비행기",D08
318,"코스믹 레일로드",S10
319,"레미니센스",V10
320,"붐!!",D12
321,"풀 문",S16
322,"트위스트 오브 페이트 (feat. Ruriling)",S19
323,"굿 나이트",S20
324,"트로피카닉",S16
325,"바이올렛 퍼퓸",S13
326,"얼론",D18
327,"미운 오리새끼",S17
328,"체이스 미",S20
329,"누드",D08
330,"왓 해픈드",D23
331,"웨딩 크래셔",S06
332,"진공",S19
333,"할시온",D12
334,"스톰",D08
335,"배드 애플!! feat. Nomico",S13
336,"디그니티",S21
337,"누드",C
338,"8 6",S12
339,"버터플라이",D17
340,"8 6 - FULL SONG -",D23
341,"터키 행진곡",S12
342,"얼티메이텀",S25
343,"러브 이즈 어 데인저 존 pt.2",S22
344,"팔랑크스 "RS2018 edit"",S22
345,"시간의 회랑 라비린스",S20
346,"이그니스 패터스(DM Ashura 믹스)",S22
347,"테디베어",C
348,"유 앤 아이",S14
349,"알레그로 퓨리오소",D20
350,"배드 애플!! feat. Nomico",S15
351,"아클루오이아스",S24
352,"체이스 미",S15
353,"팔랑크스 "RS2018 edit"",D24
354,"베토벤 바이러스",S06
355,"8 6",D18
356,"메테오 사이언스 (GADGET mix)",D22
357,"유 앤 아이",S21
358,"윈드밀",D23
359,"슬램",S18
360,"스콜피온 킹",S15
361,"가고일",D20
362,"누드",S02
363,"굿바운스",C
364,"날아올라",S09
365,"브레인 파워",S11
366,"어콰이어",D12
367,"터키 행진곡",S07
368,"헬파이어",S15
369,"어콰이어",C
370,"시간의 회랑 라비린스",S23
371,"웨딩 크래셔",S16
372,"꺼림칙한",S15
373,"풀 문",S22
374,"브레인 파워",S16
375,"키메라",S23
376,"매드 사이언스",S20
377,"꺼림칙한",D20
378,"알테일",S12
379,"뷰티플라이어",D09
380,"제로아이즈",S24
381,"코스믹 레일로드",D13
382,"슈브 니구라스",D18
383,"테디베어",S02
384,"패러독스 - SHORT CUT -",S21
385,"크로스 오버 feat. LyuU",S22
386,"엑스트라바간자",S11
387,"굿 나이트",S23
388,"얼론",S05
389,"크로스 소울",S20
